Instance,Database,Schema,Table,Column,TableRowCount,Classification Scope,EAP#23-Masking,HIPAA Status,Information Type,Masking Data Set,Owner,Primary Jurisdiction,Retention Policy,Sensitivity,Treatment Intent,Applicable Regulation: CaCPA,Applicable Regulation: DPA,Applicable Regulation: GDPR,Applicable Regulation: HIPAA,Applicable Regulation: PCI,Applicable Regulation: SOX,Where Used: Pricing,Where Used: Promotions,Where Used: System-DBA,Where Used: WebOrders,Regulatory Notes,Reason for de-scoping,MS_Description
rm-iclone3.testnet.red-gate.com,AW Clone 2,dbo,AWBuildVersion,Database Version,1,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,Version number of the database in 9.yy.mm.dd.00 format.
rm-iclone3.testnet.red-gate.com,AW Clone 2,dbo,AWBuildVersion,ModifiedDate,1,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,Date and time the record was last updated.
rm-iclone3.testnet.red-gate.com,AW Clone 2,dbo,AWBuildVersion,SystemInformationID,1,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,Primary key for AWBuildVersion records.
rm-iclone3.testnet.red-gate.com,AW Clone 2,dbo,AWBuildVersion,VersionDate,1,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,Date and time the record was last updated.
rm-iclone3.testnet.red-gate.com,AW Clone 2,dbo,DatabaseLog,DatabaseLogID,3194,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,Primary key for DatabaseLog records.
rm-iclone3.testnet.red-gate.com,AW Clone 2,dbo,DatabaseLog,DatabaseUser,3194,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,The user who implemented the DDL change.
rm-iclone3.testnet.red-gate.com,AW Clone 2,dbo,DatabaseLog,Event,3194,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,The type of DDL statement that was executed.
rm-iclone3.testnet.red-gate.com,AW Clone 2,dbo,DatabaseLog,Object,3194,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,The object that was changed by the DDL statment.
rm-iclone3.testnet.red-gate.com,AW Clone 2,dbo,DatabaseLog,PostTime,3194,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,The date and time the DDL change occurred.
rm-iclone3.testnet.red-gate.com,AW Clone 2,dbo,DatabaseLog,Schema,3194,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,The schema to which the changed object belongs.
